Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P18,3811.8,3814.0,2.199999999999818,,pause/play,urban,,,,,,yes,looking at the phone for feedback while interaction,yes
P19,3552.35,3553.15,0.8000000000001819,,others,expressway,,,,,,yes,looking at the phone,no
P19,3554.5,3555.2,0.6999999999998181,,others,expressway,,,,,,yes,looking at the phone,no
P19,3558.85,3559.45,0.599999999999909,,Vol-up/down,expressway,,,,,,yes,looking at the phone for feedback while interaction,no
P19,3606.7,3607.2,0.5,,others,expressway,,,,,,yes,looking at the phone,no
P19,3611.2,3611.8,0.6000000000003638,,others,expressway,,,,,,yes,looking at the phone,no
P19,3613.7,3614.7,1.0,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3615.1,3615.7,0.599999999999909,,others,expressway,,,,,,yes,looking at the phone,no
P19,3617.35,3618.8,1.4500000000002728,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3626.1,3627.0,0.900000000000091,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3630.7,3631.2,0.5,,others,expressway,,,,,,yes,looking at the phone,no
P19,3635.1,3635.5,0.40000000000009095,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback while interaction,no
P19,3636.4,3637.4,1.0,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction ,no
P19,3644.9,3646.1,1.199999999999818,,others,expressway,,,,,,yes,"looking at the phone, an error on stw",no
P19,3656.5,3657.15,0.650000000000091,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3657.6,3658.5,0.900000000000091,,others,expressway,,,,,,yes,looking at the phone,no
P19,3700.4,3701.6,1.199999999999818,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction--unsuccessful interaction,no
P19,3702.45,3702.85,0.40000000000009095,,others,expressway, close to a car on the other lane,,,,,yes,looking at the phone figuring out why nothing happened,no
P19,3704.45,3704.9,0.45000000000027285,,others,expressway,close to a car on the other lane,,,,,yes,,no
P19,3705.9,3706.9,1.0,,forward/backward,expressway,very close to a car on the other lane and deviated from the lane,,,,,yes,looking at the phone for feedback after interaction,no
P19,3736.35,3737.15,0.8000000000001819,,forward/backward,expressway,close to a car on the other lane,,,,,yes,looking at the phone for feedback after interaction--unsuccessful interaction,no
P19,3738.2,3739.4,1.2000000000002728,,forward/backward,expressway,close to a car on the other lane,,,,,yes,looking at the phone for feedback after interaction ,no
P19,3802.15,3803.35,1.199999999999818,,others,expressway,,,,,,yes,looking at the phone,no
P19,3808.65,3809.25,0.599999999999909,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3814.65,3814.95,0.29999999999972715,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
